Date,Vol State,Hmm state,True State,Adj CLose,Collective State,XOR,New State
1988-06-03,1,0.0,1.0,151.5800018310547,,,0.0
1988-06-06,1,0.0,1.0,151.9499969482422,,,0.0
1988-06-07,1,0.0,1.0,151.1699981689453,,,0.0
1988-06-08,1,0.0,1.0,154.2799987792969,,,0.0
1988-06-09,1,1.0,1.0,153.8600006103516,,State change,1.0
1988-06-10,1,1.0,1.0,154.4299926757812,,,1.0
1988-06-13,1,1.0,1.0,154.5399932861328,,,1.0
1988-06-14,1,1.0,1.0,156.0,,,1.0
1988-06-15,1,1.0,1.0,156.1600036621094,,,1.0
1988-06-16,1,1.0,1.0,154.0,,,1.0
1988-06-17,1,1.0,1.0,154.3200073242188,,,1.0
1988-06-20,1,1.0,1.0,153.5099945068359,,,1.0
1988-06-21,1,1.0,1.0,154.8099975585938,,,1.0
1988-06-22,1,1.0,1.0,156.8699951171875,,,1.0
1988-06-23,1,1.0,1.0,156.6499938964844,,,1.0
1988-06-24,1,1.0,1.0,156.2899932861328,,,1.0
1988-06-27,1,1.0,1.0,154.1199951171875,,,1.0
1988-06-28,1,1.0,1.0,155.6499938964844,,,1.0
1988-06-29,1,1.0,1.0,155.0800018310547,,,1.0
1988-06-30,1,1.0,1.0,156.5200042724609,,,1.0
1988-07-01,1,1.0,1.0,155.8200073242188,,,1.0
1988-07-05,1,1.0,1.0,157.5800018310547,,,1.0
1988-07-06,1,1.0,1.0,155.8600006103516,,,1.0
1988-07-07,1,1.0,1.0,155.6999969482422,,,1.0
1988-07-08,1,1.0,1.0,154.9100036621094,,,1.0
1988-07-11,1,1.0,1.0,155.1100006103516,,,1.0
1988-07-12,1,1.0,1.0,153.8200073242188,,,1.0
1988-07-13,1,1.0,1.0,154.4499969482422,,,1.0
1988-07-14,1,1.0,1.0,154.9299926757812,,,1.0
1988-07-15,1,1.0,1.0,155.7200012207031,,,1.0
1988-07-18,1,1.0,1.0,155.0,,,1.0
1988-07-19,1,1.0,1.0,153.8500061035156,,,1.0
1988-07-20,1,1.0,1.0,154.5,,,1.0
1988-07-21,1,1.0,1.0,152.8500061035156,,,1.0
1988-07-22,1,1.0,1.0,151.2799987792969,,,1.0
1988-07-25,1,1.0,1.0,151.7599945068359,,,1.0
1988-07-26,1,1.0,1.0,152.0,,,1.0
1988-07-27,1,1.0,1.0,150.6499938964844,,,1.0
1988-07-28,1,1.0,1.0,152.2400054931641,,,1.0
1988-07-29,1,1.0,1.0,155.0800018310547,,,1.0
1988-08-01,1,1.0,1.0,155.3200073242188,,,1.0
1988-08-02,1,1.0,1.0,155.3200073242188,,,1.0
1988-08-03,1,1.0,1.0,155.8099975585938,,,1.0
1988-08-04,1,1.0,1.0,155.3999938964844,,,1.0
1988-08-05,1,1.0,1.0,154.9400024414062,,,1.0
1988-08-08,1,1.0,1.0,154.3899993896484,,,1.0
1988-08-09,1,1.0,1.0,152.5399932861328,,,1.0
1988-08-10,1,1.0,1.0,150.0399932861328,,,1.0
1988-08-11,1,1.0,1.0,150.4100036621094,,,1.0
1988-08-12,1,1.0,1.0,150.3000030517578,,,1.0
1988-08-15,1,1.0,1.0,148.2899932861328,,,1.0
1988-08-16,1,1.0,1.0,149.2400054931641,,,1.0
1988-08-17,1,1.0,1.0,149.3800048828125,,,1.0
1988-08-18,1,1.0,1.0,149.5899963378906,,,1.0
1988-08-19,1,1.0,1.0,149.3000030517578,,,1.0
1988-08-22,1,1.0,1.0,147.6399993896484,,,1.0
1988-08-23,1,1.0,1.0,147.6499938964844,,,1.0
1988-08-24,1,1.0,1.0,149.5800018310547,,,1.0
1988-08-25,1,1.0,1.0,148.6300048828125,,,1.0
1988-08-26,1,1.0,1.0,148.8899993896484,,,1.0
1988-08-29,1,1.0,1.0,150.2299957275391,,,1.0
1988-08-30,1,1.0,1.0,150.3899993896484,,,1.0
1988-08-31,1,1.0,1.0,150.0599975585938,,,1.0
1988-09-01,1,1.0,1.0,148.4100036621094,,,1.0
1988-09-02,1,1.0,1.0,151.3099975585938,,,1.0
1988-09-06,1,1.0,1.0,152.3200073242188,,,1.0
1988-09-07,1,1.0,1.0,152.0800018310547,,,1.0
1988-09-08,1,1.0,1.0,152.2799987792969,,,1.0
1988-09-09,1,1.0,1.0,152.8300018310547,,,1.0
1988-09-12,1,1.0,1.0,152.6699981689453,,,1.0
1988-09-13,1,1.0,1.0,153.1100006103516,,,1.0
1988-09-14,1,1.0,1.0,154.0599975585938,,,1.0
1988-09-15,1,1.0,1.0,153.5200042724609,,,1.0
1988-09-16,1,1.0,1.0,154.7100067138672,,,1.0
1988-09-19,1,1.0,1.0,153.8899993896484,,,1.0
1988-09-20,1,1.0,1.0,154.3600006103516,,,1.0
1988-09-21,1,1.0,1.0,154.6199951171875,,,1.0
1988-09-22,1,1.0,1.0,154.1499938964844,,,1.0
1988-09-23,1,1.0,1.0,154.4400024414062,,,1.0
1988-09-26,1,1.0,1.0,153.9400024414062,,,1.0
1988-09-27,1,1.0,1.0,153.6300048828125,,,1.0
1988-09-28,1,1.0,1.0,154.0299987792969,,,1.0
1988-09-29,1,1.0,1.0,155.7799987792969,,,1.0
1988-09-30,1,1.0,1.0,155.6900024414062,,,1.0
1988-10-03,1,1.0,1.0,155.1999969482422,,,1.0
1988-10-04,1,1.0,1.0,154.8899993896484,,,1.0
1988-10-05,1,1.0,1.0,155.5299987792969,,,1.0
1988-10-06,1,1.0,1.0,155.8200073242188,,,1.0
1988-10-07,1,1.0,1.0,158.4499969482422,,,1.0
1988-10-10,1,1.0,1.0,158.5200042724609,,,1.0
1988-10-11,1,1.0,1.0,158.3699951171875,,,1.0
1988-10-12,1,1.0,1.0,156.3800048828125,,,1.0
1988-10-13,1,1.0,1.0,156.9499969482422,,,1.0
1988-10-14,1,1.0,1.0,157.0899963378906,,,1.0
1988-10-17,1,1.0,1.0,157.4700012207031,,,1.0
1988-10-18,1,1.0,1.0,158.8399963378906,,,1.0
1988-10-19,1,1.0,1.0,157.7400054931641,,,1.0
